date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
01-01-2015,Quarter1,sweing,Thursday,8,0.8,26.16,1009,7080,98,0,0,0,59,0.940725424
01-01-2015,Quarter1,finishing ,Thursday,1,0.75,3.94,1056,960,0,0,0,0,8,0.8865
01-01-2015,Quarter1,sweing,Thursday,11,0.8,11.41,953,3660,50,0,0,0,30.5,0.800570492
01-01-2015,Quarter1,sweing,Thursday,12,0.8,11.41,948,3660,50,0,0,0,30.5,0.800570492
01-01-2015,Quarter1,sweing,Thursday,6,0.8,25.9,905,1920,50,0,0,0,56,0.800381944
01-01-2015,Quarter1,sweing,Thursday,7,0.8,25.9,1168,6720,38,0,0,0,56,0.800125
01-01-2015,Quarter1,finishing ,Thursday,2,0.75,3.94,1139,960,0,0,0,0,8,0.755166667
01-01-2015,Quarter1,sweing,Thursday,3,0.75,28.08,919,6900,45,0,0,0,57.5,0.753683478
01-01-2015,Quarter1,sweing,Thursday,2,0.75,19.87,1020,6000,34,0,0,0,55,0.753097531
01-01-2015,Quarter1,sweing,Thursday,1,0.75,28.08,988,6900,45,0,0,0,57.5,0.750427826
01-01-2015,Quarter1,sweing,Thursday,9,0.7,28.08,1060,6900,44,0,0,0,57.5,0.721126957
01-01-2015,Quarter1,sweing,Thursday,10,0.75,19.31,1004,6480,45,0,0,0,54,0.712205247
01-01-2015,Quarter1,sweing,Thursday,5,0.8,11.41,1081,3660,50,0,0,0,30.5,0.707045902
01-01-2015,Quarter1,finishing ,Thursday,10,0.65,3.94,904,960,0,0,0,0,8,0.705916667
01-01-2015,Quarter1,finishing ,Thursday,8,0.75,2.9,918,960,0,0,0,0,8,0.676666667
01-01-2015,Quarter1,finishing ,Thursday,4,0.75,3.94,981,2160,0,0,0,0,18,0.593055556
01-01-2015,Quarter1,finishing ,Thursday,7,0.8,2.9,922,960,0,0,0,0,8,0.540729167
01-01-2015,Quarter1,sweing,Thursday,4,0.65,23.69,899,7200,0,0,0,0,60,0.52118
01-01-2015,Quarter1,finishing,Thursday,11,0.7,4.15,1137,1440,0,0,0,0,12,0.436326389
01-03-2015,Quarter1,finishing ,Saturday,4,0.8,4.15,1075,6600,0,0,0,0,20,0.988024691
01-03-2015,Quarter1,finishing ,Saturday,11,0.75,2.9,1108,5640,0,0,0,0,17,0.987880435
01-03-2015,Quarter1,finishing ,Saturday,9,0.8,4.15,1129,960,0,0,0,0,8,0.956270833
01-03-2015,Quarter1,finishing ,Saturday,3,0.75,3.94,928,1560,0,0,0,0,8,0.945277778
01-03-2015,Quarter1,finishing ,Saturday,1,0.8,3.94,940,960,0,0,0,0,8,0.902916667
01-03-2015,Quarter1,sweing,Saturday,1,0.8,28.08,997,6300,50,0,0,0,56.5,0.800725314
01-03-2015,Quarter1,sweing,Saturday,3,0.8,28.08,1134,6540,50,0,0,0,54.5,0.800322936
01-03-2015,Quarter1,sweing,Saturday,8,0.8,26.16,999,7080,50,0,0,0,59,0.800318644
01-03-2015,Quarter1,sweing,Saturday,12,0.8,26.16,1091,7080,63,0,0,0,59,0.800318644
01-03-2015,Quarter1,sweing,Saturday,11,0.8,11.61,930,7080,50,0,0,0,29.5,0.800237288
01-03-2015,Quarter1,sweing,Saturday,5,0.8,11.61,1165,7080,50,0,0,0,31.5,0.800148649
01-03-2015,Quarter1,sweing,Saturday,6,0.8,25.9,1099,6720,50,0,0,0,56,0.800125
01-03-2015,Quarter1,sweing,Saturday,7,0.8,25.9,994,6720,38,0,0,0,56,0.800125
01-03-2015,Quarter1,sweing,Saturday,10,0.75,19.31,1167,6480,56,0,0,0,54,0.787299691
01-03-2015,Quarter1,finishing ,Saturday,2,0.8,4.15,979,960,0,0,0,0,8,0.782447917
01-03-2015,Quarter1,sweing,Saturday,2,0.75,19.87,1134,6600,45,0,0,0,55,0.75024303
01-03-2015,Quarter1,finishing ,Saturday,10,0.7,4.15,1108,960,0,0,0,0,8,0.7018125
01-03-2015,Quarter1,sweing,Saturday,4,0.7,23.69,1141,13800,0,0,0,0,60,0.700134038
01-03-2015,Quarter1,sweing,Saturday,9,0.7,28.08,1157,6900,40,0,0,0,57.5,0.699965217
01-03-2015,Quarter1,finishing ,Saturday,8,0.8,2.9,1159,960,0,0,0,0,8,0.628333333
01-03-2015,Quarter1,finishing ,Saturday,7,0.8,3.94,898,960,0,0,0,0,8,0.6253125
01-04-2015,Quarter1,finishing ,Sunday,3,0.75,4.15,945,1560,0,0,0,0,8,0.991388889
01-04-2015,Quarter1,finishing ,Sunday,9,0.8,3.94,996,960,0,0,0,0,8,0.931645833
01-04-2015,Quarter1,finishing ,Sunday,1,0.8,3.94,1143,960,0,0,0,0,8,0.915229167
01-04-2015,Quarter1,sweing,Sunday,6,0.8,11.61,932,6975,50,0,0,0,31,0.879714482
01-04-2015,Quarter1,finishing ,Sunday,4,0.8,3.94,1057,6600,0,0,0,0,20,0.861679012
01-04-2015,Quarter1,sweing,Sunday,9,0.8,26.16,983,7080,60,0,0,0,59,0.850569492
01-04-2015,Quarter1,sweing,Sunday,7,0.8,25.9,1041,7020,60,0,0,0,56.5,0.850436438
01-04-2015,Quarter1,sweing,Sunday,8,0.8,25.9,1034,6780,45,0,0,0,56.5,0.850345133
01-04-2015,Quarter1,sweing,Sunday,4,0.8,28.08,1100,4260,50,0,0,0,55.5,0.800598058
01-04-2015,Quarter1,sweing,Sunday,1,0.8,26.16,918,7080,63,0,0,0,59,0.800318644
01-04-2015,Quarter1,sweing,Sunday,2,0.8,28.08,1127,6660,50,0,0,0,55.5,0.800237838
01-04-2015,Quarter1,sweing,Sunday,12,0.8,11.61,980,6975,50,0,0,0,31,0.800030199
01-04-2015,Quarter1,finishing ,Sunday,2,0.8,3.94,1056,960,0,0,0,0,8,0.792104167
01-04-2015,Quarter1,finishing ,Sunday,10,0.7,3.94,993,4320,0,0,0,0,18,0.759228395
